기관명,기관유형,소관부처,현소재지,이전지역,이전시기,확정단계,근거,비고
법무부,중앙행정기관,-,경기 과천,세종,2027년 상반기,발표확정,2026-09-03 행정·공공기관 이전 계획 발표,행복도시법상 이전제외 기관으로 법 개정 후 이전 추진
성평등가족부,중앙행정기관,-,서울,세종,2027년 상반기,발표확정,2026-09-03 행정·공공기관 이전 계획 발표,행복도시법상 이전제외 기관으로 법 개정 후 이전 추진
외교부,중앙행정기관,-,서울 종로,세종,2030년 이후 검토,발표검토,2026-09-03 행정·공공기관 이전 계획 발표,대통령실 세종 이전(2030)·국회의사당 완공(2033) 시기 연계 검토
통일부,중앙행정기관,-,서울 종로,세종,2030년 이후 검토,발표검토,2026-09-03 행정·공공기관 이전 계획 발표,대통령실 세종 이전(2030)·국회의사당 완공(2033) 시기 연계 검토
검찰청(공소청·중수청),중앙행정기관,법무부,경기 과천,세종,청사 신축 후,발표검토,2026-09-03 행정·공공기관 이전 계획 발표,별도 청사 신축이 필요해 신축 후 이전
경찰청,중앙행정기관,행정안전부,서울 서대문,세종,청사 신축 후,발표검토,2026-09-03 행정·공공기관 이전 계획 발표,별도 청사 신축이 필요해 신축 후 이전
금융위원회,중앙행정기관,-,서울 종로,세종(거론),미정,언론거론,2026-09-02~03 언론 보도,세종행 유력 보도됐으나 9월 3일 발표문에 미포함·4분기 최종 고시 예정
개인정보보호위원회,중앙행정기관,-,서울 종로,세종(거론),미정,언론거론,2026-09-02~03 언론 보도,세종행 유력 보도됐으나 9월 3일 발표문에 미포함·4분기 최종 고시 예정
한국산업은행,금융공공기관,금융위원회,서울 영등포,부산(거론),미정,지자체건의,2026-02 부산시 이전 희망 명단·2026-08 언론 보도,1차 이전 때 수도권 잔류·노사 갈등 및 인력 유출 쟁점
IBK기업은행,금융공공기관,금융위원회,서울 중구,부산(거론),미정,지자체건의,2026-02 부산시 이전 희망 명단,1차 이전 때 수도권 잔류
한국수출입은행,금융공공기관,재정경제부,서울 영등포,부산(거론),미정,지자체건의,2026-02 부산시 이전 희망 명단,1차 이전 때 수도권 잔류
한국무역보험공사,준정부기관,산업통상자원부,서울 종로,부산(거론),미정,지자체건의,2026-02 부산시 이전 희망 명단,부산시 금융 공공기관 유치 대상
한국투자공사,기타공공기관,재정경제부,서울 중구,미정,미정,언론거론,2026-08~09 언론 보도,2차 이전 대상으로 거론
예금보험공사,준정부기관,금융위원회,서울 중구,미정,미정,언론거론,2026-08~09 언론 보도,2차 이전 대상으로 거론
금융감독원,기타,금융위원회,서울 영등포,미정,미정,언론거론,2026-09 언론 보도,공공기관 미지정(무자본 특수법인)이나 지방이전 논의 대상으로 거론
